age,education,used_before,profession,EaseofNavigation1,EaseofNavigation2,LearnCurve1,LearnCurve2,ClarityofInstructions1,ClarityofInstructions2,ResponseTime1,ResponseTime2,ErrorHandling1,ErrorHandling2,ProductAvailability1,ProductAvailability2,Convenience1,Convenience2,Cost-effectiveness1,Cost-effectiveness2,InformationAccessibility1,InformationAccessibility2,Personalization1,Personalization2,PrivacyProtection1,PrivacyProtection2,PaymentSecurity1,PaymentSecurity2,TransparentPolicies1,TransparentPolicies2,WordofMouthandRecommendations1,WordofMouthandRecommendations2,SocialMediaPosts/Influence1,SocialMediaPosts/Influence2,OnlineReviewsandRatings1,OnlineReviewsandRatings2,SocialProof1,SocialProof2,NormativePressure1,NormativePressure2,InformationSharing1,InformationSharing2,Attitude1,Attitude2,PerceivedRisk1,PerceivedRisk2,IntentiontoPurchaseOnline1,IntentiontoPurchaseOnline2,IntentiontoPurchaseOnline3,IntentiontoPurchaseOnline4,gender_Female,gender_Male,marital_status_Married,marital_status_Single,Have you made online purchases during crisis time?_No,Have you made online purchases during crisis time?_Yes,platform_general_clean,general_aliexpress,general_daraz,general_ebay,general_ikman,general_kapruka,general_other,general_takas,general_unknown,general_wishque,general_wow,platform_auto_clean,auto_amazon,auto_autolanka,auto_ikmnan,auto_lankavehicle,auto_other,auto_patpat,auto_pricelanka,auto_riyasewana,auto_unknown,platform_pharmacy_clean,pharmacy_ceymed,pharmacy_epharma,pharmacy_healthgurd,pharmacy_healthnet,pharmacy_nearby,pharmacy_onlinepharmacy,pharmacy_other,pharmacy_unknown,platform_fashion_clean,fashion_fashionbug,fashion_gflock,fashion_kapruka,fashion_kellyfelder,fashion_midnightdivas,fashion_mimosa,fashion_odel,fashion_other,fashion_springandsummer,fashion_thilakawardana,fashion_unknown,platform_grocery_clean,grocery_arpico,grocery_cinnamonhotel,grocery_glomark,grocery_keels,grocery_other,grocery_pickmefoods,grocery_ubereats,grocery_unknown
1,4,1,3,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,4,4,4,3,4,1,1,2,1,2,1,3,3,3,4,4,4,3,4,3,3,2,2,3,3,3,3,3,3,2,3,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,['ubereats'],0,0,0,0,0,0,1,0
1,4,1,3,4,3,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,4,3,4,3,4,4,2,3,4,3,4,3,4,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,['patpat'],0,0,0,0,0,1,0,0,0,"['epharma', 'onlinepharmacy']",0,1,0,0,0,1,0,0,"['kapruka', 'fashionbug', 'odel']",1,0,1,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,3,4,4,3,4,4,4,3,4,4,2,3,4,5,3,3,4,5,4,4,3,3,5,5,4,4,4,4,4,3,5,5,4,3,3,1,5,3,4,5,4,4,4,5,5,4,1.0,0.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,"['healthgurd', 'onlinepharmacy']",0,0,1,0,0,1,0,0,"['thilakawardana', 'fashionbug', 'odel', 'other']",1,0,0,0,0,0,1,1,0,1,0,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,6,1,3,4,3,2,3,3,2,2,2,1,4,3,4,4,4,3,4,3,2,3,4,4,5,4,4,3,4,3,3,5,4,5,4,4,4,4,5,4,4,3,4,3,4,4,4,4,4,1.0,0.0,1.0,0.0,0.0,1.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,['lankavehicle'],0,0,0,1,0,0,0,0,0,['onlinepharmacy'],0,0,0,0,0,1,0,0,['fashionbug'],1,0,0,0,0,0,0,0,0,0,0,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,3,4,4,4,4,3,3,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,3,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'wow']",0,1,0,0,0,0,0,0,0,1,['riyasewana'],0,0,0,0,0,0,0,1,0,"['epharma', 'ceymed']",1,1,0,0,0,0,0,0,"['fashionbug', 'midnightdivas']",1,0,0,0,1,0,0,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,6,1,3,4,4,4,4,3,3,2,2,3,3,5,4,5,5,3,4,3,3,4,4,3,3,3,3,4,3,4,4,4,4,5,5,5,3,4,5,4,5,5,5,4,4,4,5,5,4,1.0,0.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,"['healthgurd', 'ceymed']",1,0,1,0,0,0,0,0,"['kapruka', 'thilakawardana', 'fashionbug', 'odel']",1,0,1,0,0,0,1,0,0,1,0,"['ubereats', 'pickmefoods', 'keels', 'arpico']",1,0,0,1,0,1,1,0
1,4,1,3,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,"['kapruka', 'odel']",0,0,1,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'arpico']",1,0,0,0,0,1,1,0
1,4,1,2,4,3,5,5,4,5,2,1,1,2,2,3,5,5,4,4,3,3,2,2,2,2,4,3,2,1,4,4,5,4,5,5,4,4,3,1,4,5,5,5,4,5,4,5,5,5,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['healthgurd'],0,0,1,0,0,0,0,0,['odel'],0,0,0,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,3,3,1,3,2,3,1,1,3,1,4,4,4,4,1,3,3,3,4,4,5,4,4,5,4,4,3,4,3,2,5,5,2,2,3,1,5,5,4,4,5,5,4,4,4,5,0.0,1.0,1.0,0.0,0.0,1.0,"['kapruka', 'ikman', 'takas', 'wishque']",0,0,0,1,1,0,1,0,1,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['healthgurd'],0,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,0,0,1,['ubereats'],0,0,0,0,0,0,1,0
0,4,1,0,4,4,5,5,3,4,2,3,3,2,4,3,4,3,4,3,2,3,4,4,4,3,3,4,4,4,2,4,5,3,5,5,3,1,2,1,5,3,4,5,5,5,4,5,5,5,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['keels', 'arpico']",1,0,0,1,0,0,0,0
